"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2023-09-13,372.235931396484,4467.43994140625,13813.58984375,13.4799995422363,0.03,-0.87,-0.22,0.27,-0.36,0.021,0.17,0.00380178842104506
2023-09-14,375.279815673828,4505.10009765625,13926.0498046875,12.8199996948242,0.84,0.49,0.86,0.83,0.02,0.021,-0.41,0.0081440454282804
2023-09-15,368.853912353516,4450.31982421875,13708.330078125,13.789999961853,-1.21,0.21,0.25,-0.32,0.48,0.021,-0.63,-0.0172712586805055
2023-09-18,369.238403320312,4453.52978515625,13710.240234375,14,-0.04,-0.81,-0.19,0.21,-0.05,0.021,1.23,0.00104185071002849
2023-09-19,368.451416015625,4443.9501953125,13678.1904296875,14.1099996566772,-0.27,-0.11,-0.01,0.34,0.31,0.021,-0.06,-0.00213365450524439
2023-09-20,363.141906738281,4402.2001953125,13469.1298828125,15.1400003433228,-0.95,-0.05,0.27,0.26,0.5,0.021,-0.42,-0.0145151748484302
2023-09-21,356.487487792969,4330,13223.98046875,17.5400009155273,-1.69,0.34,0.38,0.55,0.14,0.021,0.06,-0.0184945436427144
2023-09-22,356.537322998047,4320.06005859375,13211.8095703125,17.2000007629395,-0.25,-0.09,-0.5,0.17,-0.18,0.021,0.66,0.000139785332586406
2023-09-25,358.230773925781,4337.43994140625,13271.3203125,16.8999996185303,0.39,-0.07,0.35,0.59,-0.46,0.021,0.13,0.00473847141086736
2023-09-26,352.851470947266,4273.52978515625,13063.6103515625,18.9400005340576,-1.46,0.35,-0.5,-0.36,-0.08,0.021,0.4,-0.0151301924279519
2023-09-27,353.678344726562,4274.509765625,13092.849609375,18.2199993133545,0.13,0.78,0.12,0.18,-0.27,0.021,1.16,0.00234066316373216
2023-09-28,356.636932373047,4299.7001953125,13201.2802734375,17.3400001525879,0.65,0.19,0.03,0.43,-0.03,0.021,0.27,0.0083303987715011
2023-09-29,356.895935058594,4288.0498046875,13219.3203125,17.5200004577637,-0.27,-0.02,0.3,-0.18,-0.15,0.021,-0.91,0.000725972716168144
2023-10-02,359.874450683594,4288.39013671875,13307.76953125,17.6100006103516,-0.14,-1.28,-1.05,0.86,-0.52,0.021,1.33,0.00831098167186539
2023-10-03,353.558807373047,4229.4501953125,13059.4697265625,19.7800006866455,-1.5,-0.26,-0.14,0.29,0.15,0.021,-0.77,-0.0177053935305729
2023-10-04,358.370239257812,4263.75,13236.009765625,18.5799999237061,0.77,-0.53,-0.39,-0.39,-0.33,0.021,0.93,0.0135168108761334
2023-10-05,357.314300537109,4258.18994140625,13219.830078125,18.4899997711182,-0.15,0.28,0.08,-0.45,-0.12,0.021,-0.16,-0.00295085174600374
2023-10-06,363.301300048828,4308.5,13431.33984375,17.4500007629395,1.21,-0.44,-0.55,-0.32,-0.52,0.021,0.69,0.0166167295432693
2023-10-09,365.154113769531,4335.66015625,13484.240234375,17.7000007629395,0.58,-0.16,0.26,0.81,-0.38,0.021,0.14,0.00508697630916988
2023-10-10,367.176361083984,4358.240234375,13562.83984375,17.0300006866455,0.61,0.32,0.64,-0.24,0.19,0.021,-0.59,0.00552278656690142
2023-10-11,369.796264648438,4376.9501953125,13659.6796875,16.0900001525879,0.32,-0.65,0.39,0.64,-0.25,0.021,0.57,0.00710993735607968
2023-10-12,368.511199951172,4349.60986328125,13574.2197265625,16.6900005340576,-0.81,-1.49,0.12,1.18,-0.22,0.021,0.27,-0.00348111337511536
